id,date,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
1,8/2/2022,416,488,488,452,452,452,126
2,8/2/2022,488,488,488,452,452,452,125
3,8/3/2022,0,377,377,0,0,216,0
4,8/3/2022,0,379,379,0,0,217,0
5,8/4/2022,489,489,489,453,453,453,126
6,8/4/2022,489,489,489,453,453,453,126
7,8/4/2022,481,489,489,453,453,453,126
8,8/5/2022,489,489,489,453,453,453,126
9,8/8/2022,488,488,488,452,452,452,125
10,8/8/2022,476,476,476,440,440,440,125
11,8/9/2022,437,487,487,451,451,451,125
12,8/9/2022,452,488,488,452,452,452,125
13,8/10/2022,480,480,480,444,444,444,122
14,8/11/2022,489,489,489,453,453,453,126
15,8/11/2022,380,380,380,380,380,380,125
16,8/12/2022,487,487,487,451,451,451,124
17,8/12/2022,489,489,489,453,453,453,126
18,8/16/2022,487,487,488,451,451,451,125
19,8/16/2022,483,486,486,450,450,450,124
20,8/17/2022,489,489,489,453,453,453,126
21,8/17/2022,442,487,488,451,451,451,124
22,8/18/2022,488,488,489,452,452,452,125
23,8/19/2022,488,488,489,452,452,452,125
24,8/19/2022,488,488,489,452,452,452,125
25,8/19/2022,488,488,489,452,452,452,125
26,8/22/2022,488,488,489,452,452,452,125
27,8/22/2022,488,488,488,452,452,452,126
28,8/22/2022,488,488,489,452,452,452,125
29,8/23/2022,488,488,488,452,452,452,125
30,8/23/2022,474,489,489,453,453,453,126
31,8/23/2022,489,489,489,453,453,453,126
32,8/25/2022,489,489,489,453,453,453,126
33,8/26/2022,453,453,453,453,453,453,126
34,8/26/2022,453,453,453,453,453,453,126
35,8/29/2022,453,453,452,453,453,453,126
36,8/29/2022,453,453,452,453,453,453,126
37,8/29/2022,452,452,453,452,452,452,125
38,8/30/2022,453,453,453,453,453,453,126
39,8/30/2022,453,453,452,453,453,453,126
40,8/31/2022,452,452,452,452,452,452,125
41,8/31/2022,453,453,452,453,453,453,126
42,8/31/2022,453,453,453,453,453,453,126
43,9/1/2022,453,453,453,453,453,453,126
44,9/1/2022,453,453,453,453,453,453,126
45,9/2/2022,453,453,453,453,453,453,126
46,9/2/2022,453,453,453,453,453,453,126
47,9/2/2022,453,453,453,453,453,453,126
48,9/5/2022,453,453,453,453,453,453,126
49,9/5/2022,453,453,453,453,453,453,126
50,9/5/2022,452,452,452,452,452,452,125
51,9/7/2022,453,453,453,453,453,453,126
52,9/7/2022,453,453,453,453,453,453,126
53,9/7/2022,453,453,453,453,453,453,126
54,9/8/2022,450,450,450,450,450,450,124
55,9/8/2022,453,453,453,453,453,453,126
56,9/13/2022,453,453,453,453,453,453,126
57,9/13/2022,453,453,453,453,453,453,126
58,9/14/2022,451,451,451,451,451,451,126
59,9/14/2022,453,453,453,453,453,453,126
60,9/14/2022,451,451,451,451,451,451,126
61,9/15/2022,453,453,453,453,453,453,126
62,9/16/2022,453,453,453,453,453,453,126
63,9/19/2022,453,453,453,453,453,453,126
64,9/19/2022,453,453,453,453,453,453,126
65,9/21/2022,453,453,453,453,453,453,126
66,9/21/2022,452,452,452,452,452,452,125
67,9/21/2022,452,452,452,452,452,452,125
68,9/22/2022,453,453,453,453,453,453,126
69,9/22/2022,451,451,451,451,451,451,126
70,9/22/2022,453,453,453,453,453,453,126
71,9/23/2022,453,453,453,453,453,453,126
72,9/23/2022,452,452,452,452,452,452,126
73,9/26/2022,453,453,453,453,453,453,126
74,9/27/2022,452,452,452,452,452,452,126
75,9/27/2022,447,447,447,447,447,447,126
76,9/27/2022,453,453,453,453,453,453,126
77,9/28/2022,452,452,452,452,452,452,125
78,9/28/2022,453,453,453,453,453,453,126
79,9/28/2022,452,452,452,452,452,452,125
80,9/29/2022,453,453,453,453,453,453,126
81,9/29/2022,449,449,449,449,449,449,126
82,9/29/2022,453,453,453,453,453,453,126
83,9/29/2022,449,449,449,449,449,449,122
84,9/30/2022,453,453,453,453,453,453,126
85,9/30/2022,450,450,450,450,450,450,123
86,9/30/2022,453,453,453,453,453,453,126
87,9/30/2022,449,449,449,449,449,449,122
88,10/4/2022,447,447,447,447,447,447,124
89,10/4/2022,453,453,453,453,453,453,126
90,10/5/2022,447,447,447,447,447,447,126
91,10/5/2022,453,453,453,453,453,453,126
92,10/5/2022,453,453,453,453,453,453,126
93,10/6/2022,453,453,453,453,453,453,126
