id,device,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
3,Laptop,0,65,65,0,0,65,0
3,Monitor,0,53,53,0,0,53,53
3,Smartphone,0,102,102,0,0,102,0
3,Tablet,0,114,114,0,0,114,0
3,VehicleLCD,0,43,43,0,0,43,43
4,Laptop,0,66,66,0,0,66,0
4,Monitor,0,53,53,0,0,53,53
4,Smartphone,0,103,103,0,0,103,0
4,Tablet,0,114,114,0,0,114,0
4,VehicleLCD,0,43,43,0,0,43,43
id,device,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
003,Laptop,0,65,65,0,0,65,0
003,Monitor,0,53,53,0,0,53,53
003,Smartphone,0,102,102,0,0,0,0
003,Tablet,0,114,114,0,0,0,0
003,VehicleLCD,0,43,43,0,0,43,43
004,Laptop,0,66,66,0,0,66,0
004,Monitor,0,53,53,0,0,53,53
004,Smartphone,0,103,103,0,0,0,0
004,Tablet,0,114,114,0,0,0,0
004,VehicleLCD,0,43,43,0,0,43,43
