id,device,scenario,condition,CamAngle,DistCam2Face,DistDisp2Face,Eye-tracker,FaceAngle,RGB,IR
,Laptop,,A_C_T,,,,,,,
,Laptop,,A_D_T,,,,,,,
,Laptop,,A_E_T,,,,,,,
,Laptop,,A_F_T,,,,,,,
,Laptop,,A_T_T,,,,,,,
,Laptop,,A_U_T,,,,,,,
,Laptop,,D_C_T,,,,,,,
,Laptop,,D_D_T,,,,,,,
,Laptop,,D_E_T,,,,,,,
,Laptop,,D_F_T,,,,,,,
,Laptop,,D_T_T,,,,,,,
,Laptop,,D_U_T,,,,,,,
,Laptop,,F_C_T,,,,,,,
,Laptop,,F_D_T,,,,,,,
,Laptop,,F_E_T,,,,,,,
,Laptop,,F_F_T,,,,,,,
,Laptop,,F_H_T,,,,,,,
,Laptop,,F_T_T,,,,,,,
,Laptop,,F_U_T,,,,,,,
,Laptop,,N_D_T,,,,,,,
,Laptop,,N_E_T,,,,,,,
,Laptop,,N_F_T,,,,,,,
,Laptop,,N_T_T,,,,,,,
,Laptop,,N_U_T,,,,,,,
,Laptop,,S_C_T,,,,,,,
,Laptop,,S_D_T,,,,,,,
,Laptop,,S_E_T,,,,,,,
,Laptop,,S_F_T,,,,,,,
,Laptop,,S_U_T,,,,,,,
,Monitor,,A_C_T,,,,,,,
,Monitor,,A_D_T,,,,,,,
,Monitor,,A_E_T,,,,,,,
,Monitor,,A_S_T,,,,,,,
,Monitor,,A_U_T,,,,,,,
,Monitor,,D_C_T,,,,,,,
,Monitor,,D_D_T,,,,,,,
,Monitor,,D_E_T,,,,,,,
,Monitor,,D_S_T,,,,,,,
,Monitor,,D_U_T,,,,,,,
,Monitor,,F_C_T,,,,,,,
,Monitor,,F_D_T,,,,,,,
,Monitor,,F_E_T,,,,,,,
,Monitor,,F_H_T,,,,,,,
,Monitor,,F_S_T,,,,,,,
,Monitor,,F_U_T,,,,,,,
,Monitor,,N_D_T,,,,,,,
,Monitor,,N_E_T,,,,,,,
,Monitor,,N_S_T,,,,,,,
,Monitor,,N_U_T,,,,,,,
,Monitor,,S_C_T,,,,,,,
,Monitor,,S_D_T,,,,,,,
,Monitor,,S_E_T,,,,,,,
,Smartphone,,A_C_L,,,,,,,
,Smartphone,,A_C_R,,,,,,,
,Smartphone,,A_C_T,,,,,,,
,Smartphone,,A_D_L,,,,,,,
,Smartphone,,A_D_R,,,,,,,
,Smartphone,,A_D_T,,,,,,,
,Smartphone,,A_E_L,,,,,,,
,Smartphone,,A_E_R,,,,,,,
,Smartphone,,A_E_T,,,,,,,
,Smartphone,,A_F_L,,,,,,,
,Smartphone,,A_F_R,,,,,,,
,Smartphone,,A_F_T,,,,,,,
,Smartphone,,A_L_L,,,,,,,
,Smartphone,,A_L_R,,,,,,,
,Smartphone,,A_L_T,,,,,,,
,Smartphone,,A_P_L,,,,,,,
,Smartphone,,A_P_R,,,,,,,
,Smartphone,,A_P_T,,,,,,,
,Smartphone,,A_S_L,,,,,,,
,Smartphone,,A_S_R,,,,,,,
,Smartphone,,A_S_T,,,,,,,
,Smartphone,,A_T_L,,,,,,,
,Smartphone,,A_T_R,,,,,,,
,Smartphone,,A_T_T,,,,,,,
,Smartphone,,D_C_L,,,,,,,
,Smartphone,,D_C_R,,,,,,,
,Smartphone,,D_C_T,,,,,,,
,Smartphone,,D_D_L,,,,,,,
,Smartphone,,D_D_R,,,,,,,
,Smartphone,,D_D_T,,,,,,,
,Smartphone,,D_E_L,,,,,,,
,Smartphone,,D_E_R,,,,,,,
,Smartphone,,D_E_T,,,,,,,
,Smartphone,,D_F_L,,,,,,,
,Smartphone,,D_F_R,,,,,,,
,Smartphone,,D_F_T,,,,,,,
,Smartphone,,D_L_L,,,,,,,
,Smartphone,,D_L_R,,,,,,,
,Smartphone,,D_L_T,,,,,,,
,Smartphone,,D_P_L,,,,,,,
,Smartphone,,D_P_R,,,,,,,
,Smartphone,,D_P_T,,,,,,,
,Smartphone,,D_S_L,,,,,,,
,Smartphone,,D_S_R,,,,,,,
,Smartphone,,D_S_T,,,,,,,
,Smartphone,,D_T_L,,,,,,,
,Smartphone,,D_T_R,,,,,,,
,Smartphone,,D_T_T,,,,,,,
,Smartphone,,F_C_L,,,,,,,
,Smartphone,,F_C_R,,,,,,,
,Smartphone,,F_C_T,,,,,,,
,Smartphone,,F_D_L,,,,,,,
,Smartphone,,F_D_R,,,,,,,
,Smartphone,,F_D_T,,,,,,,
,Smartphone,,F_E_L,,,,,,,
,Smartphone,,F_E_R,,,,,,,
,Smartphone,,F_E_T,,,,,,,
,Smartphone,,F_F_L,,,,,,,
,Smartphone,,F_F_R,,,,,,,
,Smartphone,,F_F_T,,,,,,,
,Smartphone,,F_H_L,,,,,,,
,Smartphone,,F_H_R,,,,,,,
,Smartphone,,F_H_T,,,,,,,
,Smartphone,,F_L_L,,,,,,,
,Smartphone,,F_L_R,,,,,,,
,Smartphone,,F_L_T,,,,,,,
,Smartphone,,F_P_L,,,,,,,
,Smartphone,,F_P_R,,,,,,,
,Smartphone,,F_P_T,,,,,,,
,Smartphone,,F_S_L,,,,,,,
,Smartphone,,F_S_R,,,,,,,
,Smartphone,,F_S_T,,,,,,,
,Smartphone,,F_T_L,,,,,,,
,Smartphone,,F_T_R,,,,,,,
,Smartphone,,F_T_T,,,,,,,
,Smartphone,,N_D_L,,,,,,,
,Smartphone,,N_D_R,,,,,,,
